Score,Start Time,End Time,Duration
32,2024-09-17T13:27:13.779658,2024-09-17T13:27:14.921129,0:00:01.141471
33,2024-09-17T13:27:13.779658,2024-09-17T13:27:16.030868,0:00:02.251210
33,2024-09-17T13:27:13.779658,2024-09-17T13:27:17.146154,0:00:03.366496
34,2024-09-17T13:27:13.779658,2024-09-17T13:27:18.299127,0:00:04.519469
36,2024-09-17T13:27:13.779658,2024-09-17T13:27:19.521289,0:00:05.741631
36,2024-09-17T13:27:13.779658,2024-09-17T13:27:20.738666,0:00:06.959008
39,2024-09-17T13:27:13.779658,2024-09-17T13:27:22.058073,0:00:08.278415
51,2024-09-17T13:27:13.779658,2024-09-17T13:27:23.789538,0:00:10.009880
43,2024-09-17T13:27:13.779658,2024-09-17T13:27:25.241697,0:00:11.462039
51,2024-09-17T13:27:13.779658,2024-09-17T13:27:26.975988,0:00:13.196330
34,2024-09-17T13:27:13.779658,2024-09-17T13:27:28.128341,0:00:14.348683
37,2024-09-17T13:27:13.779658,2024-09-17T13:27:29.382242,0:00:15.602584
43,2024-09-17T13:27:13.779658,2024-09-17T13:27:30.837223,0:00:17.057565
51,2024-09-17T13:27:13.779658,2024-09-17T13:27:32.566174,0:00:18.786516
51,2024-09-17T13:27:13.779658,2024-09-17T13:27:34.289781,0:00:20.510123
32,2024-09-17T13:27:13.779658,2024-09-17T13:27:35.375725,0:00:21.596067
68,2024-09-17T13:27:13.779658,2024-09-17T13:27:37.675217,0:00:23.895559
92,2024-09-17T13:27:13.779658,2024-09-17T13:27:40.791585,0:00:27.011927
64,2024-09-17T13:27:13.779658,2024-09-17T13:27:42.962157,0:00:29.182499
51,2024-09-17T13:27:13.779658,2024-09-17T13:27:44.692820,0:00:30.913162
54,2024-09-17T13:27:13.779658,2024-09-17T13:27:46.525846,0:00:32.746188
62,2024-09-17T13:27:13.779658,2024-09-17T13:27:48.627391,0:00:34.847733
59,2024-09-17T13:27:13.779658,2024-09-17T13:27:50.629268,0:00:36.849610
51,2024-09-17T13:27:13.779658,2024-09-17T13:27:52.356137,0:00:38.576479
65,2024-09-17T13:27:13.779658,2024-09-17T13:27:54.559684,0:00:40.780026
63,2024-09-17T13:27:13.779658,2024-09-17T13:27:56.695499,0:00:42.915841
51,2024-09-17T13:27:13.779658,2024-09-17T13:27:58.424831,0:00:44.645173
51,2024-09-17T13:27:13.779658,2024-09-17T13:28:00.156963,0:00:46.377305
72,2024-09-17T13:27:13.779658,2024-09-17T13:28:02.600703,0:00:48.821045
51,2024-09-17T13:27:13.779658,2024-09-17T13:28:04.327189,0:00:50.547531
56,2024-09-17T13:27:13.779658,2024-09-17T13:28:06.219012,0:00:52.439354
51,2024-09-17T13:27:13.779658,2024-09-17T13:28:07.951644,0:00:54.171986
51,2024-09-17T13:27:13.779658,2024-09-17T13:28:09.673129,0:00:55.893471
62,2024-09-17T13:27:13.779658,2024-09-17T13:28:11.775849,0:00:57.996191
51,2024-09-17T13:27:13.779658,2024-09-17T13:28:13.502728,0:00:59.723070
61,2024-09-17T13:27:13.779658,2024-09-17T13:28:15.570201,0:01:01.790543
51,2024-09-17T13:27:13.779658,2024-09-17T13:28:17.296358,0:01:03.516700
65,2024-09-17T13:27:13.779658,2024-09-17T13:28:19.500343,0:01:05.720685
66,2024-09-17T13:27:13.779658,2024-09-17T13:28:21.744254,0:01:07.964596
92,2024-09-17T13:27:13.779658,2024-09-17T13:28:24.862957,0:01:11.083299
92,2024-09-17T13:27:13.779658,2024-09-17T13:28:27.978499,0:01:14.198841
51,2024-09-17T13:27:13.779658,2024-09-17T13:28:29.707913,0:01:15.928255
